Genus,Species name ,Family,Phyllum,Nutrition type,Growth pattern,Substrate,Use,Date,Longitude,Latitude,Site
Boletus,pinophilus,Boletaceae,Basidiomycota,ECM,scattered,soil,inedible,2014-08-26,99.300283,25.265783,Baoshan
Boletus,pinophilus,Boletaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-09-16,99.300283,25.265783,Baoshan
Boletus,pinophilus,Boletaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-09-23,99.300283,25.265783,Baoshan
Boletus,pseudosensibilis,Boletaceae,Basidiomycota,ECM,scattered,soil,inedible,2014-07-15,99.30505,25.267117,Baoshan
Boletus,regius,Boletaceae,Basidiomycota,ECM,solitary,soil,inedible,2013-08-02,99.300283,25.265783,Baoshan
Boletus,regius,Boletaceae,Basidiomycota,ECM,solitary,soil,inedible,2013-08-13,99.300283,25.265783,Baoshan
Boletus,regius,Boletaceae,Basidiomycota,ECM,solitary,soil,inedible,2013-08-21,99.300283,25.265783,Baoshan
Boletus,sinicus,Boletaceae,Basidiomycota,ECM,scattered,soil,inedible,2014-07-21,99.300283,25.265783,Baoshan
Boletus,sinicus,Boletaceae,Basidiomycota,ECM,solitary,soil,inedible,2013-07-21,99.300283,25.265783,Baoshan
Boletus,sinicus,Boletaceae,Basidiomycota,ECM,solitary,soil,inedible,2013-07-27,99.300283,25.265783,Baoshan
Boletus,speciosus,Boletaceae,Basidiomycota,ECM,solitary,soil,inedible,2013-09-15,99.300283,25.265783,Baoshan
Boletus,subtomentosus,Boletaceae,Basidiomycota,ECM,solitary,soil,inedible,2013-07-21,99.300283,25.265783,Baoshan
Boletus,valens,Boletaceae,Basidiomycota,ECM,scattered,soil,inedible,2013-08-13,99.30505,25.267117,Baoshan
Boletus,valens,Boletaceae,Basidiomycota,ECM,solitary,soil,inedible,2013-08-17,99.30505,25.267117,Baoshan
Boletus,valens,Boletaceae,Basidiomycota,ECM,solitary,soil,inedible,2013-08-26,99.30505,25.267117,Baoshan
Boletus,valens,Boletaceae,Basidiomycota,ECM,solitary,soil,inedible,2013-08-31,99.30505,25.267117,Baoshan
Bovista,plumbea,Agaricaceae,Basidiomycota,NM,grouped,soil,edible,2013-09-09,99.29265,25.248983,Baoshan
Bovista,pusilla,Agaricaceae,Basidiomycota,NM,solitary,soil,edible,2014-07-08,99.291817,25.251467,Baoshan
Bovista,pusilla,Agaricaceae,Basidiomycota,NM,scattered,soil,edible,2014-07-08,99.291817,25.251467,Baoshan
Bovista,pusilla,Agaricaceae,Basidiomycota,NM,scattered,soil,edible,2014-07-08,99.291817,25.251467,Baoshan
Bovista,pusilla,Agaricaceae,Basidiomycota,NM,scattered,soil,edible,2014-07-14,99.29385,25.260833,Baoshan
Bovista,pusilla,Agaricaceae,Basidiomycota,NM,grouped,soil,edible,2014-07-20,99.291817,25.251467,Baoshan
Bovista,pusilla,Agaricaceae,Basidiomycota,NM,solitary,soil,edible,2014-08-15,99.29265,25.248983,Baoshan
Bovista,pusilla,Agaricaceae,Basidiomycota,NM,grouped,soil,edible,2014-08-27,99.291817,25.251467,Baoshan
Bovista,pusilla,Agaricaceae,Basidiomycota,NM,grouped,soil,edible,2014-09-01,99.290417,25.2607,Baoshan
Bovista,pusilla,Agaricaceae,Basidiomycota,NM,grouped,soil,edible,2014-09-08,99.290417,25.2607,Baoshan
Bovista,pusilla,Agaricaceae,Basidiomycota,NM,solitary,soil,edible,2014-10-01,99.291817,25.251467,Baoshan
Bovista,pusilla,Agaricaceae,Basidiomycota,NM,grouped,soil,edible,2014-07-20,99.29385,25.260833,Baoshan
Bovista,pusilla,Agaricaceae,Basidiomycota,NM,scattered,soil,edible,2014-08-27,99.29385,25.260833,Baoshan
Bovista,pusilla,Agaricaceae,Basidiomycota,NM,grouped,soil,edible,2013-08-06,99.291817,25.251467,Baoshan
Bovista,pusilla,Agaricaceae,Basidiomycota,NM,scattered,soil,edible,2013-08-15,99.291817,25.251467,Baoshan
Bovista,pusilla,Agaricaceae,Basidiomycota,NM,solitary,soil,edible,2013-08-20,99.291817,25.251467,Baoshan
Bovista,pusilla,Agaricaceae,Basidiomycota,NM,grouped,soil,edible,2013-09-04,99.291817,25.251467,Baoshan
Bovista,pusilla,Agaricaceae,Basidiomycota,NM,grouped,soil,edible,2013-09-04,99.291817,25.251467,Baoshan
