Genus,Species name ,Family,Phyllum,No. of individual ,Nutrition type,Growth pattern,Substrate,Use,Long term plot (y/n),Months active,Year,Date,Plot name,Longitude,Latitude,Site,Forest type,Dominant tree,Dominant tree,Dominant tree,Land Cover Type
Amanita,parvipantherina,Amanitaceae,Basidiomycota,1,ECM,grouped,soil,Inedible,Y,July-September,2013,2013-07-03,SRS-2,99.30385,25.27335,Baoshan,Type 7,No,No,No,
Amanita,parvipantherina,Amanitaceae,Basidiomycota,1,ECM,grouped,soil,Inedible,Y,July-September,2013,2013-07-08,TDS,99.293367,25.255817,Baoshan,Type 6,No,No,No,
Amanita,parvipantherina,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2013,2013-07-12,MLT,99.293417,25.259433,Baoshan,Type 6,No,No,No,
Amanita,parvipantherina,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2013,2013-07-29,FBJ,99.300283,25.265783,Baoshan,Type 7,No,No,No,
Amanita,parvipantherina,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2013,2013-08-09,SRS-1,99.302217,25.2735,Baoshan,Type 7,No,No,No,
Amanita,parvipantherina,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2013,2013-08-18,SRS-2,99.30385,25.27335,Baoshan,Type 7,No,No,No,
Amanita,parvipantherina,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2013,2013-08-18,MLT,99.293417,25.259433,Baoshan,Type 6,No,No,No,
Amanita,parvipantherina,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2013,2013-08-26,SRS-1,99.302217,25.2735,Baoshan,Type 7,No,No,No,
Amanita,parvipantherina,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2013,2013-09-25,SRS-2,99.30385,25.27335,Baoshan,Type 7,No,No,No,
Amanita,pseudovaginata,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2014,2014-08-21,XSB,99.29385,25.260833,Baoshan,Type 8,No,No,No,
Amanita,pseudovaginata,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2014,2014-08-27,XSB,99.29385,25.260833,Baoshan,Type 8,No,No,No,
Amanita,pseudovaginata,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2014,2014-08-31,ZMG,99.291817,25.251467,Baoshan,Type 8,No,No,No,
Amanita,pseudovaginata,Amanitaceae,Basidiomycota,1,ECM,scattered,soil,Inedible,Y,July-September,2014,2014-09-01,DS,99.299017,25.27535,Baoshan,Type 6,No,No,No,
Amanita,pseudovaginata,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2014,2014-09-08,XSB,99.29385,25.260833,Baoshan,Type 8,No,No,No,
Amanita,pseudovaginata,Amanitaceae,Basidiomycota,1,ECM,scattered,soil,Inedible,Y,July-September,2013,2013-07-01,ZMG,99.291817,25.251467,Baoshan,Type 8,No,No,No,
Amanita,pseudovaginata,Amanitaceae,Basidiomycota,1,ECM,grouped,soil,Inedible,Y,July-September,2013,2013-07-03,XSB,99.29385,25.260833,Baoshan,Type 8,No,No,No,
Amanita,pseudovaginata,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2013,2013-08-02,ZMG,99.291817,25.251467,Baoshan,Type 8,No,No,No,
Amanita,pseudovaginata,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2013,2013-08-06,DS,99.299017,25.27535,Baoshan,Type 6,No,No,No,
Amanita,pseudovaginata,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2013,2013-08-14,XSB,99.29385,25.260833,Baoshan,Type 8,No,No,No,
Amanita,pseudovaginata,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2013,2013-08-20,ZMG,99.291817,25.251467,Baoshan,Type 8,No,No,No,
Amanita,pseudovaginata,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2013,2013-08-25,TM,99.30505,25.267117,Baoshan,Type 7,No,No,No,
Amanita,pseudovaginata,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2013,2013-08-26,ZMG,99.291817,25.251467,Baoshan,Type 8,No,No,No,
Amanita,pseudovaginata,Amanitaceae,Basidiomycota,1,ECM,scattered,soil,Inedible,Y,July-September,2013,2013-08-30,ZMG,99.291817,25.251467,Baoshan,Type 8,No,No,No,
Amanita,pseudovaginata,Amanitaceae,Basidiomycota,1,ECM,solitary,litters,Inedible,Y,July-September,2013,2013-08-30,FBJ,99.300283,25.265783,Baoshan,Type 7,No,No,No,
Amanita,pseudovaginata,Amanitaceae,Basidiomycota,1,ECM,grouped,soil,Inedible,Y,July-September,2013,2013-09-04,XSB,99.29385,25.260833,Baoshan,Type 8,No,No,No,
Amanita,pseudovaginata,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2013,2013-09-04,XSB,99.29385,25.260833,Baoshan,Type 8,No,No,No,
Amanita,pseudovaginata,Amanitaceae,Basidiomycota,1,ECM,scattered,soil,Inedible,Y,July-September,2013,2013-09-09,ZMF,99.29265,25.248983,Baoshan,Type 6,No,No,No,
Amanita,pseudovaginata,Amanitaceae,Basidiomycota,1,ECM,grouped,soil,Inedible,Y,July-September,2013,2013-09-14,DS,99.299017,25.27535,Baoshan,Type 6,No,No,No,
Amanita,pseudovaginata,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2013,2013-09-19,ZMG,99.291817,25.251467,Baoshan,Type 8,No,No,No,
Amanita,vaginata,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2013,2013-07-01,ZMG,99.291817,25.251467,Baoshan,Type 8,No,No,No,
Amanita,vaginata,Amanitaceae,Basidiomycota,1,ECM,scattered,soil,Inedible,Y,July-September,2013,2013-07-06,ZMG,99.291817,25.251467,Baoshan,Type 8,No,No,No,
Amanita,vaginata,Amanitaceae,Basidiomycota,1,ECM,grouped,soil,Inedible,Y,July-September,2013,2013-07-31,ZMG,99.291817,25.251467,Baoshan,Type 8,No,No,No,
Amanita,vaginata,Amanitaceae,Basidiomycota,1,ECM,grouped,soil,Inedible,Y,July-September,2013,2013-08-25,ZMG,99.291817,25.251467,Baoshan,Type 8,No,No,No,
Amanita,vaginata,Amanitaceae,Basidiomycota,1,ECM,scattered,soil,Inedible,Y,July-September,2013,2013-08-30,ZMG,99.291817,25.251467,Baoshan,Type 6,No,No,No,
Amanita,vaginata,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2013,2013-09-05,ZMG,99.291817,25.251467,Baoshan,Type 8,No,No,No,
Amanita,vaginata,Amanitaceae,Basidiomycota,1,ECM,grouped,soil,Inedible,Y,July-September,2013,2013-09-19,ZMG,99.291817,25.251467,Baoshan,Type 8,No,No,No,
Amanita,vaginata,Amanitaceae,Basidiomycota,1,ECM,grouped,soil,Inedible,Y,July-September,2014,2014-07-20,ZMG,99.291817,25.251467,Baoshan,Type 8,No,No,No,
Amanita,vaginata,Amanitaceae,Basidiomycota,1,ECM,grouped,soil,Inedible,Y,July-September,2014,2014-08-15,ZMG,99.291817,25.251467,Baoshan,Type 8,No,No,No,
Amanita,vaginata,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2014,2014-08-18,ZMG,99.291817,25.251467,Baoshan,Type 8,No,No,No,
Amanita,vaginata,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2014,2014-08-27,ZMG,99.291817,25.251467,Baoshan,Type 8,No,No,No,
Amanita,vaginata,Amanitaceae,Basidiomycota,1,ECM,scattered,soil,Inedible,Y,July-September,2014,2014-09-01,ZMG,99.291817,25.251467,Baoshan,Type 8,No,No,No,
Amanita,vaginata,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2014,2014-09-08,TM,99.30505,25.267117,Baoshan,Type 7,No,No,No,
Amanita,vaginata,Amanitaceae,Basidiomycota,1,ECM,grouped,soil,Inedible,Y,July-September,2014,2014-09-17,FBJ,99.300283,25.265783,Baoshan,Type 7,No,No,No,
Amanita,vaginata,Amanitaceae,Basidiomycota,1,ECM,grouped,soil,Inedible,Y,July-September,2014,2014-09-24,ZMF,99.29265,25.248983,Baoshan,Type 6,No,No,No,
Amanita,vaginata,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2014,2014-10-03,SRS-3,99.303533,25.27325,Baoshan,Type 7,No,No,No,
Amanita,vaginata,Amanitaceae,Basidiomycota,1,ECM,scattered,soil,Inedible,Y,July-September,2014,2014-08-18,DS,99.299017,25.27535,Baoshan,Type 6,No,No,No,
Amauroderma,longisporum,Ganodermataceae,Basidiomycota,1,NM,grouped,wood,Unknown,Y,July-September,2013,2013-09-16,DS,99.299017,25.27535,Baoshan,Type 6,No,No,No,
Armillaria,mellea,Physalacriaceae,Basidiomycota,1,NM,grouped,wood,Unknown,Y,July-September,2013,2013-08-03,TM,99.30505,25.267117,Baoshan,Type 7,No,No,No,
Armillaria,sp. 1,Physalacriaceae,Basidiomycota,1,NM,grouped,litters,Unknown,Y,July-September,2014,2014-08-20,TM,99.30505,25.267117,Baoshan,Type 7,No,No,No,
Auriscalpium,vulgare,Auriscalpiaceae,Basidiomycota,1,NM,grouped,pine fruit,Inedible,Y,July-September,2014,2014-07-15,TM,99.30505,25.267117,Baoshan,Type 7,No,No,No,
Auriscalpium,vulgare,Auriscalpiaceae,Basidiomycota,1,NM,grouped,pine fruit,Inedible,Y,July-September,2014,2014-07-15,FBJ,99.300283,25.265783,Baoshan,Type 7,No,No,No,
Auriscalpium,vulgare,Auriscalpiaceae,Basidiomycota,1,NM,solitary,pine fruit,Inedible,Y,July-September,2014,2014-07-21,TDS,99.293367,25.255817,Baoshan,Type 6,No,No,No,
Auriscalpium,vulgare,Auriscalpiaceae,Basidiomycota,1,NM,solitary,pine fruit,Inedible,Y,July-September,2014,2014-09-22,FBJ,99.300283,25.265783,Baoshan,Type 7,No,No,No,
Auriscalpium,vulgare,Auriscalpiaceae,Basidiomycota,1,NM,grouped,pine fruit,Inedible,Y,July-September,2013,2013-07-06,FBJ,99.300283,25.265783,Baoshan,Type 7,No,No,No,
Auriscalpium,vulgare,Auriscalpiaceae,Basidiomycota,1,NM,scattered,litters,Inedible,Y,July-September,2013,2013-08-31,SRS-3,99.303533,25.27325,Baoshan,Type 7,No,No,No,
Austroboletus,fusisporus,Boletaceae,Basidiomycota,1,ECM,grouped,soil,Inedible,Y,July-September,2013,2013-08-31,TM,99.30505,25.267117,Baoshan,Type 7,No,No,No,
Austroboletus,fusisporus,Boletaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2013,2013-09-19,ZMG,99.291817,25.251467,Baoshan,Type 8,No,No,No,
Austroboletus,sp. 1,Boletaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2014,2014-08-31,SRS-2,99.30385,25.27335,Baoshan,Type 7,No,No,No,
Bjerkandera,fumosa,Meruliaceae,Basidiomycota,1,NM,grouped,wood,Inedible,Y,July-September,2013,2013-08-31,FBJ,99.300283,25.265783,Baoshan,Type 7,No,No,No,
Bjerkandera,fumosa,Meruliaceae,Basidiomycota,1,NM,grouped,wood,Inedible,Y,July-September,2013,2013-09-14,ZMF,99.29265,25.248983,Baoshan,Type 6,No,No,No,
